time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-07T17:57:21.200Z,-8.3499,116.8148,10,5.1,mww,,63,2.637,1.28,us,us1000h8gb,2018-10-09T11:57:26.353Z,"14km ENE of Sambelia, Indonesia",earthquake,6.7,1.8,0.069,20,reviewed,us,us
2018-10-07T17:42:21.320Z,-28.1711,-179.2795,395.38,5.5,mww,,50,1.597,1.47,us,us1000h8g6,2018-10-08T18:27:09.040Z,"181km NW of Raoul Island, New Zealand",earthquake,10.9,6,0.073,18,reviewed,us,us
2018-10-07T14:14:00.550Z,-30.6189,-71.7644,28.96,4.6,mb,,75,0.124,0.46,us,us1000h8ex,2018-10-09T14:13:18.909Z,"54km W of Ovalle, Chile",earthquake,5.8,1.1,0.146,14,reviewed,us,us
2018-10-07T13:52:39.930Z,36.532,70.5446,195.85,4.9,mww,,44,0.593,0.72,us,us1000h8et,2018-10-09T13:35:03.076Z,"45km SW of Jarm, Afghanistan",earthquake,5.8,3.8,0.073,18,reviewed,us,us
2018-10-07T12:05:09.730Z,-36.1885,52.3644,10,4.6,mb,,87,12.097,0.38,us,us1000h8ee,2018-10-07T12:23:27.040Z,"Southwest Indian Ridge",earthquake,14.4,1.9,0.141,15,reviewed,us,us
2018-10-07T11:15:41.650Z,43.4388,87.0827,10,4.6,mb,,69,4.769,1.43,us,us1000h8e2,2018-10-07T11:41:58.040Z,"58km SW of Urunchi, China",earthquake,8.7,1.9,0.111,24,reviewed,us,us
2018-10-07T09:44:28.640Z,-7.3597,-13.1133,10,5,mb,,66,1.36,0.95,us,us1000h8dp,2018-10-07T10:01:06.040Z,"157km ENE of Georgetown, Saint Helena",earthquake,9.1,1.9,0.074,58,reviewed,us,us
2018-10-07T07:57:57.070Z,-7.3411,-13.2039,10,4.9,mb,,55,1.288,0.8,us,us1000h8d3,2018-10-07T08:17:39.040Z,"148km ENE of Georgetown, Saint Helena",earthquake,4.9,1.9,0.104,29,reviewed,us,us
2018-10-07T03:01:10.700Z,26.5226,140.5479,422.62,4.7,mb,,82,1.57,0.85,us,us1000h8c2,2018-10-07T03:19:30.040Z,"177km WSW of Chichi-shima, Japan",earthquake,10.7,7.5,0.029,352,reviewed,us,us
2018-10-07T01:44:22.920Z,-54.6416,-135.677,10,5.1,mb,,130,28.498,1.02,us,us1000h8fm,2018-10-07T16:29:35.040Z,"Pacific-Antarctic Ridge",earthquake,13.2,1.8,0.097,34,reviewed,us,us
2018-10-07T01:35:50.350Z,37.3601,71.6759,119.71,4.5,mb,,64,0.17,0.77,us,us1000h8be,2018-10-07T02:16:45.040Z,"17km NW of Roshtqal'a, Tajikistan",earthquake,7.6,4.9,0.192,8,reviewed,us,us
2018-10-07T01:14:19.870Z,35.0112,137.5054,41.56,4.8,mb,,66,0.516,0.8,us,us1000h8b9,2018-10-08T10:11:07.970Z,"12km N of Shinshiro, Japan",earthquake,4.2,6.2,0.061,82,reviewed,us,us
2018-10-07T01:06:51.010Z,-54.3738,-135.6377,10,4.9,mb,,105,30.799,1.3,us,us1000h8fi,2018-10-07T16:32:23.040Z,"Pacific-Antarctic Ridge",earthquake,13.5,1.8,0.096,34,reviewed,us,us
2018-10-07T00:26:43.570Z,12.6154,-88.2567,49.7,4.9,mb,,77,1.18,1.48,us,us1000h8au,2018-10-07T00:55:06.040Z,"67km SSW of Intipuca, El Salvador",earthquake,6.7,7.1,0.034,267,reviewed,us,us
2018-10-07T00:11:51.280Z,20.0269,-73.0158,24,5.9,mww,,19,1.642,0.81,us,us1000h8an,2018-10-10T02:38:19.474Z,"21km WNW of Ti Port-de-Paix, Haiti",earthquake,5.3,1.8,0.055,32,reviewed,us,us
2018-10-07T00:10:05.390Z,7.5869,-37.6617,10,5.6,mww,,53,13.441,1.16,us,us1000h8ar,2018-10-09T16:15:44.040Z,"Central Mid-Atlantic Ridge",earthquake,9.9,1.8,0.073,18,reviewed,us,us
2018-10-06T23:01:02.430Z,-6.2192,148.9031,59.18,4.9,mb,,39,3.605,0.95,us,us1000h8a8,2018-10-06T23:21:32.040Z,"71km W of Kandrian, Papua New Guinea",earthquake,8.1,1.4,0.058,97,reviewed,us,us
2018-10-06T22:15:35.110Z,35.9469,70.5381,97.65,4.5,mb,,87,1.176,0.86,us,us1000h89r,2018-10-06T23:28:14.040Z,"23km WSW of `Alaqahdari-ye Kiran wa Munjan, Afghanistan",earthquake,4.7,6.1,0.094,33,reviewed,us,us
2018-10-06T16:22:32.660Z,-5.5813,150.2422,117.84,5,mww,,62,2.36,0.78,us,us1000h856,2018-10-06T16:38:03.040Z,"11km ESE of Kimbe, Papua New Guinea",earthquake,7.9,6.9,0.078,16,reviewed,us,us
2018-10-06T15:18:43.780Z,26.5087,129.4566,10,4.8,mb,,85,1.108,0.83,us,us1000h84n,2018-10-06T15:43:54.040Z,"147km E of Nago, Japan",earthquake,6.1,1.9,0.116,23,reviewed,us,us
2018-10-06T09:37:16.410Z,-44.4538,167.8786,11.52,4.6,mb,,77,0.894,1.3,us,us1000h82b,2018-10-08T08:55:12.304Z,"89km NW of Queenstown, New Zealand",earthquake,3.8,4.7,0.117,22,reviewed,us,us
2018-10-06T04:14:25.130Z,42.7112,141.9477,44.99,4.6,mb,,75,1.134,0.41,us,us1000h800,2018-10-06T07:44:04.812Z,"27km ESE of Chitose, Japan",earthquake,5.4,7.7,0.086,40,reviewed,us,us
2018-10-06T00:34:20.340Z,37.5412,15.022,7.74,4.6,mwr,,37,0.614,0.99,us,us1000h7ya,2018-10-07T19:30:08.756Z,"2km NNW of Misterbianco, Italy",earthquake,5.1,4.5,0.052,36,reviewed,us,us
2018-10-05T21:23:15.140Z,-22.1337,169.4453,10,4.8,mb,,94,1.91,0.89,us,us1000h7vl,2018-10-05T21:36:43.040Z,"173km ESE of Tadine, New Caledonia",earthquake,8.3,1.9,0.098,32,reviewed,us,us
2018-10-05T21:08:27.890Z,-22.0465,169.6163,13.17,5.4,mww,,41,2.086,1.05,us,us1000h7v7,2018-10-07T16:57:11.040Z,"187km ESE of Tadine, New Caledonia",earthquake,6.8,3.1,0.065,23,reviewed,us,us
2018-10-05T18:16:10.980Z,-42.637,78.5721,10,5.2,mb,,45,8.881,0.75,us,us1000h7qa,2018-10-06T15:01:43.040Z,"Mid-Indian Ridge",earthquake,10.2,1.8,0.068,72,reviewed,us,us
2018-10-05T15:13:28.150Z,-5.6244,-11.37,10,5.2,mb,,59,13.836,0.86,us,us1000h7kj,2018-10-05T15:29:57.040Z,"Ascension Island region",earthquake,12.5,1.9,0.103,31,reviewed,us,us
2018-10-05T14:59:44.630Z,-5.6465,-11.4955,10,5.6,mww,,34,3.64,1.44,us,us1000h7jc,2018-10-05T17:01:58.188Z,"Ascension Island region",earthquake,9.1,1.8,0.073,18,reviewed,us,us
2018-10-05T10:34:23.890Z,8.3967,-103.3064,10,4.6,mb,,210,10.213,1.17,us,us1000h7fq,2018-10-05T11:17:29.040Z,"Northern East Pacific Rise",earthquake,11.4,2,0.05,121,reviewed,us,us
2018-10-05T01:56:35.820Z,-3.4337,149.6856,10,5,mb,,82,2.584,1.26,us,us1000h7di,2018-10-05T02:15:08.040Z,"155km SW of Kavieng, Papua New Guinea",earthquake,8.5,1.9,0.111,26,reviewed,us,us
2018-10-05T01:46:01.210Z,-14.5368,-71.6018,10,5.3,mww,,60,3.657,1.34,us,us1000h7da,2018-10-05T18:54:42.975Z,"23km WSW of Checca, Peru",earthquake,7.7,1.9,0.071,19,reviewed,us,us
2018-10-04T23:58:48.010Z,42.618,142.0556,12.05,5.4,mb,,33,1.015,0.84,us,us1000h7cn,2018-10-05T16:41:41.040Z,"37km E of Tomakomai, Japan",earthquake,6.9,3.3,0.027,457,reviewed,us,us
2018-10-04T23:21:56.590Z,-22.8393,-66.3748,235.4,4.9,mb,,59,1.667,1.02,us,us1000h7c7,2018-10-04T23:34:54.040Z,"70km W of Abra Pampa, Argentina",earthquake,7.9,10.6,0.129,19,reviewed,us,us
2018-10-04T23:07:52.150Z,-5.9598,154.7495,166.94,4.8,mb,,93,3.117,1.06,us,us1000h7bz,2018-10-04T23:25:31.040Z,"90km WNW of Panguna, Papua New Guinea",earthquake,11,7.3,0.064,75,reviewed,us,us
2018-10-04T22:44:33.410Z,26.5746,129.431,10,5,mww,,68,1.068,1.72,us,us1000h7bt,2018-10-04T23:08:21.040Z,"144km E of Nago, Japan",earthquake,4.8,1.9,0.071,19,reviewed,us,us
2018-10-04T22:08:34.870Z,-1.2053,120.0587,10,4.5,mb,,87,2.411,1.28,us,us1000h7bb,2018-10-04T22:32:39.040Z,"40km SSE of Palu, Indonesia",earthquake,6.6,1.9,0.113,23,reviewed,us,us
2018-10-04T19:59:41.250Z,13.0799,-81.106,10.81,4.7,mb,,43,3.239,0.61,us,us1000h78n,2018-10-09T12:57:25.040Z,"42km SE of Mountain, Colombia",earthquake,3.3,5.9,0.049,127,reviewed,us,us
2018-10-04T18:27:40.370Z,-4.6372,101.8232,23.66,4.7,mb,,106,3.347,0.83,us,us1000h777,2018-10-09T20:33:04.040Z,"104km SSW of Bengkulu, Indonesia",earthquake,4.6,4.7,0.088,39,reviewed,us,us
2018-10-04T18:27:22.270Z,-1.3154,120.3148,10,4.6,mb,,126,2.455,0.72,us,us1000h774,2018-10-09T14:38:54.040Z,"39km WNW of Kasiguncu, Indonesia",earthquake,7.5,1,0.122,20,reviewed,us,us
2018-10-04T13:57:19.880Z,2.161,128.5938,10,4.5,mb,,161,1.846,0.75,us,us1000h6yd,2018-10-04T15:58:57.040Z,"80km NE of Tobelo, Indonesia",earthquake,9.4,2,0.127,18,reviewed,us,us
